Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I12624	I12624_ERS8208029	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12624_ERS8208029_L1_R1.fastq.gz	NA	NA
I12613	I12613_ERS8208025	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12613_ERS8208025_L1_R1.fastq.gz	NA	NA
I16616	I16616_ERS8208690	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16616_ERS8208690_L1_R1.fastq.gz	NA	NA
I16595	I16595_ERS8208666	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16595_ERS8208666_L1_R1.fastq.gz	NA	NA
I12906	I12906_ERS8208069	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12906_ERS8208069_L1_R1.fastq.gz	NA	NA
I12926	I12926_ERS8208073	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12926_ERS8208073_L1_R1.fastq.gz	NA	NA
I12926	I12926_ERS8208074	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12926_ERS8208074_L1_R1.fastq.gz	NA	NA
I16791	I16791_ERS8208701	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16791_ERS8208701_L1_R1.fastq.gz	NA	NA
I16617	I16617_ERS8208691	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16617_ERS8208691_L1_R1.fastq.gz	NA	NA
I12778	I12778_ERS8208044	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12778_ERS8208044_L1_R1.fastq.gz	NA	NA
I12778	I12778_ERS8208043	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12778_ERS8208043_L1_R1.fastq.gz	NA	NA
I12772	I12772_ERS8208036	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12772_ERS8208036_L1_R1.fastq.gz	NA	NA
I12771	I12771_ERS8208033	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12771_ERS8208033_L1_R1.fastq.gz	NA	NA
I12783	I12783_ERS8208048	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12783_ERS8208048_L1_R1.fastq.gz	NA	NA
I12776	I12776_ERS8208042	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12776_ERS8208042_L1_R1.fastq.gz	NA	NA
I12783	I12783_ERS8208047	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12783_ERS8208047_L1_R1.fastq.gz	NA	NA
I12772	I12772_ERS8208035	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12772_ERS8208035_L1_R1.fastq.gz	NA	NA
I12775	I12775_ERS8208040	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12775_ERS8208040_L1_R1.fastq.gz	NA	NA
I12776	I12776_ERS8208041	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12776_ERS8208041_L1_R1.fastq.gz	NA	NA
I12774	I12774_ERS8208038	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12774_ERS8208038_L1_R1.fastq.gz	NA	NA
I12771	I12771_ERS8208034	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12771_ERS8208034_L1_R1.fastq.gz	NA	NA
I12779	I12779_ERS8208046	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12779_ERS8208046_L1_R1.fastq.gz	NA	NA
I12775	I12775_ERS8208039	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12775_ERS8208039_L1_R1.fastq.gz	NA	NA
I12779	I12779_ERS8208045	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12779_ERS8208045_L1_R1.fastq.gz	NA	NA
I12774	I12774_ERS8208037	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12774_ERS8208037_L1_R1.fastq.gz	NA	NA
I12786	I12786_ERS8208051	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12786_ERS8208051_L1_R1.fastq.gz	NA	NA
